,event_id,log_template,processed_template,summary,source_entity,source_entity_type,target_entity,target_entity_type,action,status,java_exception,entity,entity_type,entity_1,entity_1_id,action_1,action_1_id,status_id,is_anomaly,is_anomaly_reason
0,8,<*>:50010 Served block blk_<*> to /<*>,:50010 Served block blk_ to /,50010 serving block to /,50010,SYSTEM MODULE,/,OBJECT,serving,none_7,,/,OBJECT,/,2,serving,17,7,False,The log message indicates a typical block receiving process from source to destination.
1,13,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010,BLOCK* ask :50010 to replicate blk_ to datanode(s) :50010,BLOCK* asks datanode(s) to replicate,BLOCK*,OBJECT,datanode(s),OBJECT,replicate,none_12,,BLOCK*,OBJECT,BLOCK*,6,replicate,23,12,False,"The log message indicates a block being added to the block map, which is a normal execution process in a NameSystem."
2,20,BLOCK* ask <*>:50010 to replicate blk_<*> to datanode(s) <*>:50010 <*>:50010,BLOCK* ask :50010 to replicate blk_ to datanode(s) :50010 :50010,BLOCK* replicating to datanodes,BLOCK*,OBJECT,datanode,SYSTEM MODULE,replicate,none_19,,BLOCK*,OBJECT,BLOCK*,6,write_1,30,19,True,"The log message indicates an error in handling a packet responder for a specific block, which is abnormal and may require further investigation."
3,2,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*>:50010 is added to blk_<*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: :50010 is added to blk_ size ,NameSystem adding stored block,NameSystem,SYSTEM MODULE,block,OBJECT,add,updated_1,,NameSystem,SYSTEM MODULE,NameSystem,0,add,12,1,False,This log message seems to be a standard message indicating the receipt of a block
4,7,BLOCK* NameSystem.allocateBlock: <*> blk_<*>,BLOCK* NameSystem.allocateBlock:  blk_,NameSystem allocateBlock,NameSystem,SYSTEM MODULE,BLOCK*,OBJECT,allocate,none_6,,NameSystem,SYSTEM MODULE,NameSystem,0,allocate,8,6,False,"This log message indicates a routine process of deleting a block file, which is a common operation in many systems."
5,41,PacketResponder blk_<*> 1 Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.,PacketResponder blk_ 1 Exception ,PacketResponder with blk_1 Exception,PacketResponder,SYSTEM MODULE,blk1,OBJECT,none,exception_40,java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[closed]. <*> millis timeout left.,PacketResponder,SYSTEM MODULE,PacketResponder,7,none_0,5,40,True,"The log message indicates that a block deletion operation failed and the block was added to the invalidSet, which is not a normal execution process."
6,46,PacketResponder blk_<*> 1 Exception java.io.IOException: The stream is closed,PacketResponder blk_ 1 Exception ,PacketResponder with blk_1 java exception,PacketResponder,SYSTEM MODULE,blk1,OBJECT,none,exception_45,java.io.IOException: The stream is closed,PacketResponder,SYSTEM MODULE,PacketResponder,7,none_1,9,45,False,The log message indicates a normal block allocation process in the NameSystem.
7,27,PendingReplicationMonitor timed out block blk_<*>,PendingReplicationMonitor timed out block blk_,PendingReplicationMonitor timed out block,PendingReplicationMonitor,SYSTEM MODULE,blk,OBJECT,timed out,none_26,,blk,OBJECT,blk,5,timed out,0,26,True,"The log message indicates serving a block, which is a normal process in execution. However, the specific block and destination may raise concerns for further investigation."
8,29,PacketResponder blk_<*> <*> Exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010]. <*> millis timeout left.,PacketResponder blk_  Exception ,PacketResponder with blk_ java exception,PacketResponder,SYSTEM MODULE,blk,OBJECT,none,exception_28,java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010]. <*> millis timeout left.,blk,OBJECT,blk,5,none_2,4,28,True,"The log message indicates an exception occurred while serving a block to a client, which is not a normal execution process."
9,30,PacketResponder blk_<*> <*> Exception <*>,PacketResponder blk_  Exception ,PacketResponder with blk_ exception,PacketResponder,SYSTEM MODULE,blk,OBJECT,none,exception_29,,blk,OBJECT,blk,5,none_3,33,29,False,The log message indicates a successful verification process for a block.
10,31,PacketResponder blk_<*> <*> Exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],PacketResponder blk_  Exception ,PacketResponder with blk_ Exception,PacketResponder,SYSTEM MODULE,blk,OBJECT,none,exception_30,java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for read. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk,OBJECT,blk,5,none_4,21,30,False,This log message indicates a normal block received during execution.
11,32,Exception in receiveBlock for block blk_<*> java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,Exception in receiveBlock for block blk_ ,Exception in receiveBlock,receiveBlock,SYSTEM MODULE,blk,OBJECT,none,exception_31,java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,blk,OBJECT,blk,5,none_5,16,31,False,"The log message indicates a block being transmitted, which is a normal execution process."
12,33,writeBlock blk_<*> received exception java.io.IOException: <*> <*>,writeBlock blk_ received exception ,writeBlock received exception,none,none,blk,OBJECT,write,exception_32,java.io.IOException: <*> <*>,blk,OBJECT,blk,5,write,11,32,False,"The log message indicates a block replication request, which is a common process in a distributed file system like Hadoop. It does not indicate any abnormalities."
13,34,writeBlock blk_<*> received exception java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for <*> ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],writeBlock blk_ received exception ,writeBlock exception on blk_,none,none,blk,OBJECT,write,exception_33,java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for <*> ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk,OBJECT,blk,5,write,11,33,False,The log message indicates a normal execution process of starting a thread to transfer a block.
14,24,writeBlock blk_<*> received exception <*>,writeBlock blk_ received exception ,exception in writing block,none,none,blk,OBJECT,write,exception_23,,blk,OBJECT,blk,5,write,11,23,True,"The log message indicates an unexpected error while trying to delete a block, suggesting an abnormal execution process."
15,37,"writeBlock blk_<*> received exception java.io.IOException: Block blk_<*> is valid, and cannot be written to.",writeBlock blk_ received exception ,Error writing block,none,none,blk,OBJECT,write,exception_36,"java.io.IOException: Block blk_<*> is valid, and cannot be written to.",blk,OBJECT,blk,5,write,11,36,True,"The log message indicates an exception occurred while trying to read from a stream, which is not a normal execution process."
16,38,<*>:50010:Failed to transfer blk_<*> to <*>:50010 got java.io.IOException: Connection reset by peer,:50010:Failed to transfer blk_ to :50010 got ,Failed transfer of blk_,none,none,blk,OBJECT,transfer,failed_37,java.io.IOException: Connection reset by peer,blk,OBJECT,blk,5,transfer,28,37,True,Receiving an empty packet for a block can indicate a potential issue with data transmission or data corruption.
17,39,writeBlock blk_<*> received exception java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,writeBlock blk_ received exception ,Exception received while writing block,none,none,blk,OBJECT,write,exception_38,java.io.InterruptedIOException: Interruped while waiting for IO on channel java.nio.channels.SocketChannel[connected <*> <*> <*> millis timeout left.,blk,OBJECT,blk,5,write,11,38,True,"The log message indicates that a block request was received for a block that does not belong to any file, which is not a normal execution process."
18,40,PacketResponder blk_<*> <*> Exception java.io.IOException: Broken pipe,PacketResponder blk_  Exception ,PacketResponder with blk_ java exception,PacketResponder,SYSTEM MODULE,blk,OBJECT,none,exception_39,java.io.IOException: Broken pipe,blk,OBJECT,blk,5,none_6,27,39,True,Redundant addStoredBlock request received
19,42,Exception in receiveBlock for block blk_<*> java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for write. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],Exception in receiveBlock for block blk_ ,Exception in receiveBlock for blk_,receiveBlock,SYSTEM MODULE,blk,OBJECT,none,exception_41,java.net.SocketTimeoutException: <*> millis timeout while waiting for channel to be ready for write. ch : java.nio.channels.SocketChannel[connected <*> remote=/<*>:50010],blk,OBJECT,blk,5,none_7,1,41,False,"The log message is a typical block replication request, which is a normal execution process."
20,43,Reopen Block blk_<*>,Reopen Block blk_,Reopening block blk_,none,none,blk,OBJECT,reopen,none_42,,blk,OBJECT,blk,5,reopen,26,42,False,The log message indicates a normal execution process of starting a thread to transfer a block.
21,44,BLOCK* Removing block blk_<*> from neededReplications as it does not belong to any file.,BLOCK* Removing block blk_ from neededReplications as it does not belong to any file.,Removing block from neededReplications,none,none,blk,OBJECT,removing,none_43,,blk,OBJECT,blk,5,receiving,15,43,True,"The log message indicates an exception in receiving a block, which suggests an abnormal execution process."
22,45,Exception in receiveBlock for block blk_<*> java.io.IOException: Broken pipe,Exception in receiveBlock for block blk_ ,Exception in receiveBlock for blk_,receiveBlock,SYSTEM MODULE,blk,OBJECT,none,exception_44,java.io.IOException: Broken pipe,blk,OBJECT,blk,5,none_8,24,44,True,"The log message indicates an exception java.io.IOException: Connection reset by peer, which suggests an abnormal execution process."
23,35,PacketResponder blk_<*> <*> Exception java.io.IOException: Connection reset by peer,PacketResponder blk_  Exception ,PacketResponder with blk_ java exception,PacketResponder,SYSTEM MODULE,blk,OBJECT,none,exception_34,java.io.IOException: Connection reset by peer,blk,OBJECT,blk,5,none_9,32,34,True,"The log message indicates that an exception was received during the writeBlock process, which is abnormal behavior."
24,26,Exception in receiveBlock for block blk_<*> <*>,Exception in receiveBlock for block blk_ ,Exception in receiveBlock for blk_,receiveBlock,SYSTEM MODULE,blk,OBJECT,none,exception_25,,blk,OBJECT,blk,5,none_10,19,25,False,"This log message seems to indicate a routine operation of changing block file offset and meta file offset, which is commonly seen in normal execution processes."
25,47,writeBlock blk_<*> received exception java.net.NoRouteToHostException: No route to host,writeBlock blk_ received exception ,writeBlock blk_ exception,none,none,blk,OBJECT,write,exception_46,java.net.NoRouteToHostException: No route to host,blk,OBJECT,blk,5,receive,6,46,True,"The log message indicates an exception in receiving a block, which is not a normal execution process."
26,23,writeBlock blk_<*> received exception java.io.IOException: Connection reset by peer,writeBlock blk_ received exception ,writeBlock exception received,none,none,blk,OBJECT,write,exception_22,java.io.IOException: Connection reset by peer,blk,OBJECT,blk,5,write,11,22,True,"The log message indicates a timeout in the replication process, which is abnormal behavior."
27,3,PacketResponder <*> for block blk_<*> <*>,PacketResponder  for block blk_ ,PacketResponder for block blk_,PacketResponder,SYSTEM MODULE,blk,OBJECT,none,none_2,,blk,OBJECT,blk,5,none_11,25,2,True,"The log message indicates an exception occurred while writing a block to a mirror, which is not a normal execution process."
28,22,Exception in receiveBlock for block blk_<*> java.io.IOException: Connection reset by peer,Exception in receiveBlock for block blk_ ,Exception in receiveBlock for blk_,receiveBlock,SYSTEM MODULE,blk,OBJECT,none,exception_21,java.io.IOException: Connection reset by peer,blk,OBJECT,blk,5,timed out,0,21,True,The log message indicates an exception of InterruptedIOException which suggests an abnormal execution process
29,4,Received block blk_<*> of size <*> from /<*>,Received block blk_ of size  from /,Receiving block blk_ from /,/,OBJECT,blk,OBJECT,receiving,none_3,,blk,OBJECT,blk,5,writing,14,3,True,"The log message indicates an exception occurred in the PacketResponder process, which is not normal behavior."
30,19,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for blk_<*> on <*>:50010 size <*>,BLOCK* NameSystem.addStoredBlock: Redundant addStoredBlock request received for blk_ on :50010 size ,Redundant addStoredBlock request received,NameSystem,SYSTEM MODULE,blk,OBJECT,addStoredBlock,redundant_18,,blk,OBJECT,blk,5,timed out,0,18,True,"The log message indicates a SocketTimeoutException, which is an abnormal condition indicating a timeout while waiting for a channel to be ready for read."
31,18,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for blk_<*> on <*>:50010 size <*> But it does not belong to any file.,BLOCK* NameSystem.addStoredBlock: addStoredBlock request received for blk_ on :50010 size  But it does not belong to any file.,Error adding stored block,NameSystem,SYSTEM MODULE,blk,OBJECT,addStoredBlock request received,error_17,,blk,OBJECT,blk,5,receive,6,17,True,"The log message indicates an InterruptedIOException which suggests a problem with IO operations, likely due to a timeout or interruption."
32,6,BLOCK* NameSystem.delete: blk_<*> is added to invalidSet of <*>:50010,BLOCK* NameSystem.delete: blk_ is added to invalidSet of :50010,Deleting blk_ added to invalidSet,NameSystem,SYSTEM MODULE,blk,OBJECT,delete,invalid_5,,blk,OBJECT,blk,5,delete,20,5,True,"The log message indicates an exception being received during the writeBlock operation, which is abnormal behavior."
33,16,writeBlock blk_<*> received exception java.io.IOException: Could not read from stream,writeBlock blk_ received exception ,Exception in writing block,none,none,blk,OBJECT,writing,exception_15,java.io.IOException: Could not read from stream,blk,OBJECT,blk,5,writing,14,15,True,"The log message indicates an exception due to a socket timeout while waiting for a channel to be ready, which is not a normal execution process."
34,9,<*>:50010:Got exception while serving blk_<*> to /<*>:,:50010:Got exception while serving blk_ to /:,Exception while serving blk_,none,none,blk,OBJECT,serving,exception_8,,blk,OBJECT,blk,5,transfer,28,8,True,"The log message indicates an IOException due to connection reset by peer, which is an abnormal execution process."
35,10,Verification succeeded for blk_<*>,Verification succeeded for blk_,Successful verification for blk_,none,none,blk,OBJECT,verification,successful_9,,blk,OBJECT,blk,5,verification,10,9,True,Adding an already existing block is not a normal execution process and indicates a potential issue or error.
36,14,<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010,:50010 Starting thread to transfer block blk_ to :50010,Starting thread to transfer block,none,none,block,OBJECT,transferring,none_13,,block,OBJECT,block,1,transferring,13,13,True,"The log message indicates an exception being thrown during a write operation, which is abnormal behavior."
37,12,<*>:50010:Transmitted block blk_<*> to /<*>:50010,:50010:Transmitted block blk_ to /:50010,Transmitted block blk_,none,none,block blk,OBJECT,transmitted,none_11,,block blk,OBJECT,block blk,4,transmitted,2,11,True,Failed to transfer block due to java.io.IOException: Connection reset by peer
38,11,Received block blk_<*> src: <*> dest: /<*>:50010 of size <*>,Received block blk_ src:  dest: /:50010 of size ,Received block blk_,none,none,block blk,OBJECT,receiving,none_10,,block blk,OBJECT,block blk,4,receiving_1,7,10,True,The log message indicates an interrupted IO exception which is an abnormal execution process.
39,36,Adding an already existing block blk_<*>,Adding an already existing block blk_,Adding already existing block,none,none,block blk,OBJECT,adding,already existing_35,,block blk,OBJECT,block blk,4,writing_1,22,35,True,"The log message indicates an exception java.io.IOException: Broken pipe, which suggests an abnormal execution process."
40,15,Unexpected error trying to delete block blk_<*>. BlockInfo not found in volumeMap.,Unexpected error trying to delete block blk_. BlockInfo not found in volumeMap.,Error deleting block blk_,none,none,block blk,OBJECT,deleting,error_14,,block blk,OBJECT,block blk,4,deleting,18,14,True,"The log message indicates an InterruptedIOException, which suggests an abnormal execution process due to interruption while waiting for IO on a channel."
41,17,Receiving empty packet for block blk_<*>,Receiving empty packet for block blk_,receiving empty packet for block blk_,none,none,block blk,OBJECT,receiving,empty_16,,block blk,OBJECT,block blk,4,receive_1,29,16,True,"The log message indicates a SocketTimeoutException which suggests a timeout while waiting for a channel to be ready for write, which is abnormal behavior."
42,21,"<*>:50010 Starting thread to transfer block blk_<*> to <*>:50010, <*>:50010",":50010 Starting thread to transfer block blk_ to :50010, :50010",Starting block transfer,none,none,block blk,OBJECT,transferring,none_20,,block blk,OBJECT,block blk,4,transferring_1,31,20,False,"The log message indicates a common action of reopening a block, which is a normal execution process."
43,28,<*>:50010:Exception writing block blk_<*> to mirror <*>:50010,:50010:Exception writing block blk_ to mirror :50010,Exception writing block to mirror,none,none,block blk,OBJECT,writing,exception_27,,block blk,OBJECT,block blk,4,writing,22,27,False,This log message indicates a normal process of removing a block that does not belong to any file.
44,25,Changing block file offset of block blk_<*> from 0 to <*> meta file offset to <*>,Changing block file offset of block blk_ from 0 to  meta file offset to ,Changing block file offset,none,none,block blk,OBJECT,changing file offset,none_24,,block blk,OBJECT,block blk,4,receiving_1,7,24,True,"The log message indicates an exception in receiving a block due to a broken pipe, which is abnormal behavior."
45,1,Receiving block blk_<*> src: <*> dest: /<*>:50010,Receiving block blk_ src:  dest: /:50010,receiving block blk_,none,none,block blk,OBJECT,receiving,none_0,,block blk,OBJECT,block blk,4,receiving_1,7,0,True,"The log message indicates an IOException due to a closed stream, which is abnormal behavior in the execution process."
46,5,Deleting block blk_<*> file <*><*>,Deleting block blk_ file ,deleting block file,none,none,block blk file,OBJECT,deleting,none_4,,block blk file,OBJECT,block blk file,3,deleting_1,3,4,True,"The log message indicates an exception related to a NoRouteToHostException, which suggests a network connectivity issue or a problem with the host, indicating abnormal execution process."
